name,employer,location,position type,core competency
Junior Data Analyst,Lockerdome,Saint Louis,Data Scientist / Business Intelligence,Statistical Analysis
Project Coordinator Support,Maritz,Saint Louis,Technical Assistant / User Support,Non-coding
Junior Web Developer,Cozy,Portland,Web - Front End,Ruby
Junior Developer 3,LiveAnswer,South Florida,Web - Full Stack,Java
Full Stack Engineer,Splitwise,Rhode Island,Web - Full Stack,Ruby
Customer Experience,Splitwise,Rhode Island,Project Manager / Analyst,Non-coding
IT Support Specialist,Viamontech,South Florida,Technical Assistant / User Support,Non-coding
C#/.net Developer ,Hunter Engineering,Saint Louis,Software / Enterprise Developer,.Net
Junior Developer,"TruckMovers.com, Inc.",Kansas City,Web - Full Stack,Python
Software Engineer,Computer Associates Inc,Rhode Island,Software / Enterprise Developer,.Net
Technical Help Desk,DataServ,Saint Louis,Technical Assistant / User Support,Non-coding
QA Analyst,Float Left Interactive,South Florida,Quality Assurance Analyst,Non-coding
Android Developer,Float Left Interactive,South Florida,Mobile Developer,Android
Help Desk Support Service Specialist,SuprTek Technology,Saint Louis,Technical Assistant / User Support,Non-coding
Jr. Level Applications Tester,SuprTek Technology,Saint Louis,Quality Assurance Analyst,Non-coding
Associate Managed Systems Engineer,SuprTek Technology,Saint Louis,Quality Assurance Analyst,Non-coding
Quality Assurance Analyst,SuprTek Technology,Saint Louis,Quality Assurance Analyst,Non-coding
Test Engineer,SuprTek Technology,Saint Louis,Data Scientist / Business Intelligence,Java
Full Stack Developer,Buzzbold,Saint Louis,Web - Full Stack,Javascript
DevOps Engineer,Datarista,Rhode Island,Software / Enterprise Developer,Python
Software Engineer - Back End,Datarista,Rhode Island,Web - Back End,Java
Business Intelligence Analyst,Anheuser Busch,Saint Louis,Data Scientist / Business Intelligence,Database
Digital Marketing Analyst,How to Manage a Small Law Firm,South Florida,Data Scientist / Business Intelligence,Non-coding
Front End Web Devevloper,Useagility,Kansas City,Web - Front End,JavaScript
Operations Assistant,Technia Transact,South Florida,Project Manager / Analyst,Non-coding
Project Manager,Technia Transact,South Florida,Project Manager / Analyst,Non-coding
Client Services Engineer,EyeVerify,Kansas City,Software / Enterprise Developer,JavaScript
Software Developer,Gragg Advertising,Kansas City,Web - Full Stack,JavaScript
Technical Sales Rep,Technia Transact,South Florida,Technical Assistant / User Support,Non-coding
Front End Dev,Watchtower Security,Saint Louis,Web - Front End,Javascript
IOS Engineer,Utrip,Seattle,Mobile Developer,iOS
Junior Software Engineer,Ad Astra Information Systems,Kansas City,Web - Full Stack,.Net
Software Developer,Smajda Development,Kansas City,Web - Full Stack,Python
SEM Specialist,Optimum7,South Florida,Data Scientist / Business Intelligence,Non-coding
Mobile Devevloper,LaborChart,Kansas City,Mobile Developer,iOS
Front End,Maritz,Saint Louis,Web - Front End,JavaScript
.net developer ,Hunter Engineering,Saint Louis,Software / Enterprise Developer,.Net
Junior Java Developer,Technia Transact,South Florida,Web - Back End,Java
Customer Experience Specialist,DivvyHQ,Kansas City,Technical Assistant / User Support,Non-coding
PHP Developer/Data Scientist,EveryMundo,South Florida,Web - Back End,PHP
TechStars Intnership Program,Ultimate Software,South Florida,Web - Full Stack,Java
Web Applications Engineer,Alright Analytics ,Kansas City,Web - Front End,Python
Web Developer,Atomic Dust,Saint Louis,Web - Full Stack,JavaScript
Mobile Developer,Haku App,South Florida,Mobile Developer,iOS
Front End Developer,Haku App,South Florida,Web - Front End,JavaScript
Jr. Web Dev.,Motivation Technologies,Saint Louis,Web - Front End,JavaScript
C#/Game Dev,Bass Underwriters,South Florida,Web - Full Stack,.Net
Android Developer,Kairos,South Florida,Mobile Developer,Android
Site Reliability Engineer ,Kairos,South Florida,System Admin / DB Admin / Network Support,Non-coding
Software Developer C#/.NET,DirecLogix,South Florida,Web - Back End,.Net
Cloud Engineer,DirecLogix,South Florida,System Admin / DB Admin / Network Support,Non-coding
Front End Dev,How to Manage a Small Law Firm,South Florida,Web - Front End,JavaScript
Pthyon/APIs Dev ,How to Manage a Small Law Firm,South Florida,Web - Back End,Python
Full Stack Engineer,BrandVerity,Seattle,Web - Full Stack,Python
Cross-Platform Mobile Developer,Eyeride,South Florida,Mobile Developer,.Net
Front-End Developer,Eyeride,South Florida,Web - Front End,JavaScript
Front-End Developer,Active Giver,Seattle,Web - Front End,JavaScript
Junior Developer ,ESolutions,Kansas City,Technical Assistant / User Support,.Net
Senior Growth Analyst,Skyscanner,South Florida,Data Scientist / Business Intelligence,Statistical Analysis
Java Dev,Equifax,Saint Louis,Web - Front End,Java
Front End Developer,Swappa,Kansas City,Web - Front End,JavaScript
Sr. IT Analyst (Data/BI),Bull Moose Industries,Saint Louis,Data Scientist / Business Intelligence,Statistical Analysis
PHP Dev.,Sherpa,Saint Louis,Software / Enterprise Developer,PHP
QA Analyst,Sherpa,Saint Louis,Quality Assurance Analyst,PHP
Web-Based .NET/C#,Center Prism,Saint Louis,Web - Full Stack,.Net
Front End Developer,Lifted Logic,Kansas City,Web - Front End,JavaScript
Application Support Analyst,Maritz,Saint Louis,System Admin / DB Admin / Network Support,Database
Android Developer,EyeVerify,Kansas City,Mobile Developer,Android
Desktop Support ,City of Portland,Portland,Technical Assistant / User Support,Non-coding
Customer Support ,SafetyCulture,Kansas City,Technical Assistant / User Support,JavaScript
Wordpress Dev.,Bootstrap & Co.,Anywhere in the US,Web - Front End,JavaScript
Tech Support,MOD Pizza,Seattle,System Admin / DB Admin / Network Support,Non-coding
Social Media Manager,Excy,Seattle,Technical Writer,Non-coding
Web Dev.,Greater Goods,Anywhere in the US,Web - Front End,JavaScript
Front End Developer,LaborChart,Kansas City,Web - Front End,JavaScript
Data Scientist,Visa South Florida,South Florida,Data Scientist / Business Intelligence,Statistical Analysis
PHP Developer,EveryMundo,South Florida,Web - Full Stack,PHP
QA Analyst,Bandcamp,New York,Other,"Ruby, Javascript"
Ruby specialist,LaunchCode,Saint Louis,Web - Back End,Javascript
Front End,TouchSuite,South Florida,Web - Front End,JavaScript
Tech Support,Viamontech,South Florida,System Admin / DB Admin / Network Support,Non-coding
Project Manager,RI Interactive,Rhode Island,Project Manager / Analyst,Non-coding
Front-End/UX Developer,Palm Beach Software Design,South Florida,Web - Front End,JavaScript
mobile dev,Upserve,Rhode Island,Mobile Developer,iOS
Front End Developer,Trim Agency,South Florida,Web - Front End,JavaScript
Project Manager,Trim Agency,South Florida,Project Manager / Analyst,Non-coding
Software Engineer,Spring Venture Group,Kansas City,Software / Enterprise Developer,Java
System Administrator,Saepio,Kansas City,System Admin / DB Admin / Network Support,Database
front end web dev,LaborChart,Kansas City,Web - Front End,JavaScript
Front end web dev,DST,Kansas City,Web - Front End,JavaScript
Software Engineer,Toast,Rhode Island,Web - Full Stack,Javascript
Software Engineer,BetaXAnalytics,Rhode Island,Software / Enterprise Developer,JavaScript
Data Science,BetaXAnalytics,Rhode Island,Data Scientist / Business Intelligence,Statistical Analysis
Software Devevloper,DST,Kansas City,Web - Full Stack,Java
Data Engineer,Preventure,Rhode Island,Data Scientist / Business Intelligence,Database
Internet of Things Developer,IOTAS,Portland,Software / Enterprise Developer,Java
Software Developer (Data Team),Redfin,Seattle,Web - Full Stack,Java
Data Science,Utilidata,Rhode Island,Data Scientist / Business Intelligence,Statistical Analysis
